wattHours,predictedWattHours,created
0.0,2.95084,2017-06-15T21:30:00.000Z
0.0,2.53757,2017-06-15T22:00:00.000Z
0.0,2.62617,2017-06-15T22:30:00.000Z
0.0,3.65476,2017-06-15T23:00:00.000Z
0.0,5.29923,2017-06-15T23:30:00.000Z
6.0,24.1627,2017-06-16T00:00:00.000Z
30.0,44.3568,2017-06-16T00:30:00.000Z
73.0,66.2019,2017-06-16T01:00:00.000Z
98.0,106.295,2017-06-16T01:30:00.000Z
161.0,208.06,2017-06-16T02:00:00.000Z
106.0,305.628,2017-06-16T02:30:00.000Z
141.0,382.194,2017-06-16T03:00:00.000Z
591.0,498.269,2017-06-16T03:30:00.000Z
668.0,489.275,2017-06-16T04:00:00.000Z
631.0,540.492,2017-06-16T04:30:00.000Z
581.0,572.129,2017-06-16T05:00:00.000Z
553.0,584.107,2017-06-16T05:30:00.000Z
712.0,689.788,2017-06-16T06:00:00.000Z
866.0,705.965,2017-06-16T06:30:00.000Z
865.0,923.161,2017-06-16T07:00:00.000Z
892.0,877.168,2017-06-16T07:30:00.000Z
863.0,893.726,2017-06-16T08:00:00.000Z
855.0,881.709,2017-06-16T08:30:00.000Z
824.0,864.042,2017-06-16T09:00:00.000Z
760.0,719.769,2017-06-16T09:30:00.000Z
707.0,646.215,2017-06-16T10:00:00.000Z
527.0,582.864,2017-06-16T10:30:00.000Z
457.0,489.715,2017-06-16T11:00:00.000Z
344.0,436.942,2017-06-16T11:30:00.000Z
279.0,384.404,2017-06-16T12:30:00.000Z
190.0,247.741,2017-06-16T13:00:00.000Z
87.0,141.112,2017-06-16T13:30:00.000Z
33.0,57.4672,2017-06-16T14:00:00.000Z
6.0,13.5339,2017-06-16T14:30:00.000Z
0.0,4.05485,2017-06-16T15:00:00.000Z
0.0,2.15704,2017-06-16T15:30:00.000Z
0.0,2.0233,2017-06-16T16:00:00.000Z
0.0,2.82583,2017-06-16T16:30:00.000Z
0.0,5.86124,2017-06-16T17:00:00.000Z
0.0,6.91821,2017-06-16T17:30:00.000Z
0.0,7.67561,2017-06-16T18:00:00.000Z
0.0,8.10926,2017-06-16T18:30:00.000Z
0.0,7.93131,2017-06-16T19:00:00.000Z
0.0,7.41835,2017-06-16T19:30:00.000Z
0.0,6.46372,2017-06-16T20:00:00.000Z
0.0,5.56679,2017-06-16T20:30:00.000Z
0.0,4.74604,2017-06-16T21:00:00.000Z
0.0,3.96737,2017-06-16T21:30:00.000Z
0.0,3.18823,2017-06-16T22:00:00.000Z
0.0,1.71838,2017-06-16T22:30:00.000Z
0.0,1.17582,2017-06-16T23:00:00.000Z
0.0,1.83295,2017-06-16T23:30:00.000Z
4.0,16.4671,2017-06-17T00:00:00.000Z
39.0,46.2324,2017-06-17T00:30:00.000Z
49.0,64.6788,2017-06-17T01:00:00.000Z
122.0,94.6398,2017-06-17T01:30:00.000Z
208.0,176.43,2017-06-17T02:00:00.000Z
296.0,312.827,2017-06-17T02:30:00.000Z
429.0,351.233,2017-06-17T03:00:00.000Z
477.0,491.049,2017-06-17T03:30:00.000Z
555.0,414.238,2017-06-17T04:00:00.000Z
640.0,482.203,2017-06-17T04:30:00.000Z
694.0,536.731,2017-06-17T05:00:00.000Z
765.0,635.694,2017-06-17T05:30:00.000Z
803.0,707.03,2017-06-17T06:00:00.000Z
804.0,724.668,2017-06-17T06:30:00.000Z
859.0,700.569,2017-06-17T07:00:00.000Z
860.0,769.452,2017-06-17T07:30:00.000Z
830.0,768.757,2017-06-17T08:00:00.000Z
826.0,751.165,2017-06-17T08:30:00.000Z
756.0,671.23,2017-06-17T09:00:00.000Z
744.0,701.843,2017-06-17T09:30:00.000Z
715.0,782.019,2017-06-17T10:00:00.000Z
635.0,817.127,2017-06-17T10:30:00.000Z
543.0,834.566,2017-06-17T11:00:00.000Z
424.0,689.963,2017-06-17T11:30:00.000Z
315.0,649.0,2017-06-17T12:30:00.000Z
215.0,397.044,2017-06-17T13:00:00.000Z
103.0,289.392,2017-06-17T13:30:00.000Z
29.0,160.047,2017-06-17T14:00:00.000Z
7.0,90.4178,2017-06-17T14:30:00.000Z
0.0,58.1459,2017-06-17T15:00:00.000Z
0.0,32.3737,2017-06-17T15:30:00.000Z
0.0,13.6928,2017-06-17T16:00:00.000Z
0.0,0.446099,2017-06-17T16:30:00.000Z
0.0,0.243044,2017-06-17T17:00:00.000Z
0.0,1.39941,2017-06-17T17:30:00.000Z
0.0,4.45682,2017-06-17T18:00:00.000Z
0.0,6.17551,2017-06-17T18:30:00.000Z
0.0,6.19949,2017-06-17T19:00:00.000Z
0.0,7.41835,2017-06-17T19:30:00.000Z
0.0,6.46372,2017-06-17T20:00:00.000Z
0.0,5.56679,2017-06-17T20:30:00.000Z
0.0,4.54478,2017-06-17T21:00:00.000Z
0.0,3.66858,2017-06-17T21:30:00.000Z
0.0,2.78554,2017-06-17T22:00:00.000Z
0.0,1.71838,2017-06-17T22:30:00.000Z
0.0,1.17582,2017-06-17T23:00:00.000Z
0.0,1.83295,2017-06-17T23:30:00.000Z
7.0,18.2552,2017-06-18T00:00:00.000Z
28.0,48.3622,2017-06-18T00:30:00.000Z
37.0,65.0661,2017-06-18T01:00:00.000Z
56.0,97.1478,2017-06-18T01:30:00.000Z
124.0,185.438,2017-06-18T02:00:00.000Z
266.0,319.576,2017-06-18T02:30:00.000Z
438.0,500.016,2017-06-18T03:00:00.000Z
580.0,603.609,2017-06-18T03:30:00.000Z
666.0,589.961,2017-06-18T04:00:00.000Z
750.0,704.3,2017-06-18T04:30:00.000Z
821.0,766.197,2017-06-18T05:00:00.000Z
890.0,701.917,2017-06-18T05:30:00.000Z
891.0,688.028,2017-06-18T06:00:00.000Z
722.0,813.902,2017-06-18T06:30:00.000Z
836.0,782.7,2017-06-18T07:00:00.000Z
837.0,949.001,2017-06-18T07:30:00.000Z
879.0,951.768,2017-06-18T08:00:00.000Z
850.0,1012.56,2017-06-18T08:30:00.000Z
814.0,983.461,2017-06-18T09:00:00.000Z
771.0,765.969,2017-06-18T09:30:00.000Z
713.0,716.208,2017-06-18T10:00:00.000Z
635.0,792.018,2017-06-18T10:30:00.000Z
543.0,703.637,2017-06-18T11:00:00.000Z
438.0,558.872,2017-06-18T11:30:00.000Z
