wattHours,predictedWattHours,created
971.0,1025.79,2017-12-03T11:30:00.000Z
909.0,1042.13,2017-12-03T12:00:00.000Z
937.0,1002.1,2017-12-03T12:30:00.000Z
966.0,988.121,2017-12-03T13:00:00.000Z
919.0,1015.25,2017-12-03T13:30:00.000Z
1073.0,1089.59,2017-12-03T14:00:00.000Z
970.0,1042.24,2017-12-03T14:30:00.000Z
961.0,1004.33,2017-12-03T15:00:00.000Z
863.0,964.528,2017-12-03T15:30:00.000Z
895.0,981.531,2017-12-03T16:00:00.000Z
881.0,953.221,2017-12-03T16:30:00.000Z
792.0,964.526,2017-12-03T17:00:00.000Z
933.0,928.593,2017-12-03T17:30:00.000Z
792.0,917.083,2017-12-03T18:00:00.000Z
914.0,927.772,2017-12-03T18:30:00.000Z
796.0,895.421,2017-12-03T19:00:00.000Z
892.0,927.453,2017-12-03T19:30:00.000Z
923.0,889.706,2017-12-03T20:00:00.000Z
825.0,923.641,2017-12-03T20:30:00.000Z
901.0,902.549,2017-12-03T21:00:00.000Z
857.0,901.817,2017-12-03T21:30:00.000Z
1205.0,930.289,2017-12-03T22:00:00.000Z
1012.0,896.296,2017-12-03T22:30:00.000Z
994.0,937.095,2017-12-03T23:00:00.000Z
900.0,916.051,2017-12-03T23:30:00.000Z
866.0,920.538,2017-12-04T00:00:00.000Z
948.0,948.099,2017-12-04T00:30:00.000Z
900.0,925.601,2017-12-04T01:00:00.000Z
905.0,1040.18,2017-12-04T01:30:00.000Z
971.0,980.292,2017-12-04T02:00:00.000Z
909.0,1040.6,2017-12-04T02:30:00.000Z
1041.0,1089.0,2017-12-04T03:00:00.000Z
1017.0,1083.72,2017-12-04T03:30:00.000Z
1036.0,1066.82,2017-12-04T04:00:00.000Z
1031.0,1168.89,2017-12-04T04:30:00.000Z
843.0,1196.06,2017-12-04T05:00:00.000Z
1116.0,1166.68,2017-12-04T05:30:00.000Z
1243.0,1273.79,2017-12-04T06:00:00.000Z
1279.0,1288.93,2017-12-04T06:30:00.000Z
1271.0,1322.28,2017-12-04T07:00:00.000Z
1279.0,1306.98,2017-12-04T07:30:00.000Z
1214.0,1378.72,2017-12-04T08:00:00.000Z
1102.0,1338.57,2017-12-04T08:30:00.000Z
998.0,1229.96,2017-12-04T09:00:00.000Z
1008.0,1109.82,2017-12-04T09:30:00.000Z
830.0,1138.79,2017-12-04T10:00:00.000Z
975.0,1040.72,2017-12-04T10:30:00.000Z
914.0,1080.96,2017-12-04T11:00:00.000Z
914.0,1034.42,2017-12-04T11:30:00.000Z
928.0,1051.23,2017-12-04T12:00:00.000Z
886.0,1056.56,2017-12-04T12:30:00.000Z
904.0,997.585,2017-12-04T13:00:00.000Z
928.0,1024.32,2017-12-04T13:30:00.000Z
1008.0,1089.04,2017-12-04T14:00:00.000Z
1060.0,1056.48,2017-12-04T14:30:00.000Z
1023.0,1009.23,2017-12-04T15:00:00.000Z
923.0,985.82,2017-12-04T15:30:00.000Z
876.0,973.777,2017-12-04T16:00:00.000Z
863.0,962.629,2017-12-04T16:30:00.000Z
900.0,951.47,2017-12-04T17:00:00.000Z
862.0,970.592,2017-12-04T17:30:00.000Z
895.0,905.73,2017-12-04T18:00:00.000Z
852.0,923.994,2017-12-04T18:30:00.000Z
807.0,907.828,2017-12-04T19:00:00.000Z
919.0,907.151,2017-12-04T19:30:00.000Z
839.0,921.854,2017-12-04T20:00:00.000Z
904.0,906.979,2017-12-04T20:30:00.000Z
877.0,965.616,2017-12-04T21:00:00.000Z
876.0,984.815,2017-12-04T21:30:00.000Z
913.0,952.972,2017-12-04T22:00:00.000Z
863.0,960.688,2017-12-04T22:30:00.000Z
970.0,920.72,2017-12-04T23:00:00.000Z
896.0,934.301,2017-12-04T23:30:00.000Z
961.0,879.023,2017-12-05T00:00:00.000Z
