wattHours,predictedWattHours,created
741.0,529.699,2017-06-13T13:00:00.000Z
579.0,620.683,2017-06-13T14:00:00.000Z
457.0,485.126,2017-06-13T15:00:00.000Z
895.0,794.736,2017-06-13T16:00:00.000Z
1503.0,186.005,2017-06-13T17:00:00.000Z
352.0,-142.951,2017-06-13T18:00:00.000Z
874.0,-657.881,2017-06-13T19:00:00.000Z
911.0,-597.511,2017-06-13T20:00:00.000Z
427.0,-528.808,2017-06-13T21:00:00.000Z
-101.0,288.851,2017-06-13T22:00:00.000Z
733.0,-47.8971,2017-06-13T23:00:00.000Z
398.0,32.6348,2017-06-14T00:00:00.000Z
807.0,419.016,2017-06-14T01:00:00.000Z
1296.0,1380.82,2017-06-14T02:00:00.000Z
1543.0,1296.89,2017-06-14T03:00:00.000Z
740.0,1037.59,2017-06-14T04:00:00.000Z
402.0,800.785,2017-06-14T05:00:00.000Z
327.0,654.655,2017-06-14T06:00:00.000Z
470.0,675.079,2017-06-14T07:00:00.000Z
569.0,564.002,2017-06-14T08:00:00.000Z
433.0,486.952,2017-06-14T09:00:00.000Z
381.0,455.334,2017-06-14T10:00:00.000Z
557.0,436.682,2017-06-14T11:00:00.000Z
556.0,582.278,2017-06-14T13:00:00.000Z
616.0,617.135,2017-06-14T14:00:00.000Z
653.0,373.354,2017-06-14T15:00:00.000Z
704.0,-115.463,2017-06-14T16:00:00.000Z
-170.0,-335.877,2017-06-14T17:00:00.000Z
-336.0,-268.524,2017-06-14T18:00:00.000Z
-546.0,-135.247,2017-06-14T19:00:00.000Z
224.0,-506.292,2017-06-14T20:00:00.000Z
282.0,-301.189,2017-06-14T21:00:00.000Z
28.0,-29.8333,2017-06-14T22:00:00.000Z
256.0,296.709,2017-06-14T23:00:00.000Z
1594.0,1320.07,2017-06-15T00:00:00.000Z
580.0,1302.59,2017-06-15T01:00:00.000Z
930.0,1530.49,2017-06-15T02:00:00.000Z
1011.0,1502.78,2017-06-15T03:00:00.000Z
1296.0,1097.27,2017-06-15T04:00:00.000Z
1507.0,790.14,2017-06-15T05:00:00.000Z
447.0,659.852,2017-06-15T06:00:00.000Z
356.0,489.918,2017-06-15T07:00:00.000Z
345.0,483.145,2017-06-15T08:00:00.000Z
357.0,492.492,2017-06-15T09:00:00.000Z
358.0,504.611,2017-06-15T10:00:00.000Z
539.0,633.134,2017-06-15T11:00:00.000Z
592.0,813.062,2017-06-15T13:00:00.000Z
702.0,492.127,2017-06-15T14:00:00.000Z
754.0,453.93,2017-06-15T15:00:00.000Z
546.0,143.082,2017-06-15T16:00:00.000Z
340.0,-44.5463,2017-06-15T17:00:00.000Z
612.0,8.83789,2017-06-15T18:00:00.000Z
492.0,426.84,2017-06-15T19:00:00.000Z
-556.0,-186.38,2017-06-15T20:00:00.000Z
-228.0,-142.172,2017-06-15T21:00:00.000Z
377.0,165.337,2017-06-15T22:00:00.000Z
-456.0,670.741,2017-06-15T23:00:00.000Z
1564.0,1355.66,2017-06-16T00:00:00.000Z
2665.0,1685.83,2017-06-16T01:00:00.000Z
1418.0,1401.71,2017-06-16T02:00:00.000Z
1503.0,1343.51,2017-06-16T03:00:00.000Z
1276.0,1170.32,2017-06-16T04:00:00.000Z
935.0,884.05,2017-06-16T05:00:00.000Z
443.0,601.84,2017-06-16T06:00:00.000Z
304.0,490.037,2017-06-16T07:00:00.000Z
277.0,486.509,2017-06-16T08:00:00.000Z
288.0,485.836,2017-06-16T09:00:00.000Z
282.0,513.414,2017-06-16T10:00:00.000Z
346.0,530.641,2017-06-16T11:00:00.000Z
436.0,619.769,2017-06-16T13:00:00.000Z
360.0,563.696,2017-06-16T14:00:00.000Z
180.0,434.326,2017-06-16T15:00:00.000Z
-193.0,485.713,2017-06-16T16:00:00.000Z
153.0,282.59,2017-06-16T17:00:00.000Z
1085.0,122.522,2017-06-16T18:00:00.000Z
913.0,-297.445,2017-06-16T19:00:00.000Z
-548.0,-120.703,2017-06-16T20:00:00.000Z
-737.0,135.082,2017-06-16T21:00:00.000Z
-618.0,-36.9413,2017-06-16T22:00:00.000Z
-258.0,331.993,2017-06-16T23:00:00.000Z
-19.0,572.76,2017-06-17T00:00:00.000Z
1260.0,929.245,2017-06-17T01:00:00.000Z
1580.0,1245.32,2017-06-17T02:00:00.000Z
1035.0,1171.61,2017-06-17T03:00:00.000Z
949.0,944.926,2017-06-17T04:00:00.000Z
905.0,741.852,2017-06-17T05:00:00.000Z
822.0,606.872,2017-06-17T06:00:00.000Z
365.0,485.103,2017-06-17T07:00:00.000Z
366.0,475.715,2017-06-17T08:00:00.000Z
361.0,481.891,2017-06-17T09:00:00.000Z
361.0,492.818,2017-06-17T10:00:00.000Z
420.0,535.97,2017-06-17T11:00:00.000Z
518.0,534.399,2017-06-17T13:00:00.000Z
932.0,744.393,2017-06-17T14:00:00.000Z
806.0,281.089,2017-06-17T15:00:00.000Z
-96.0,-67.4037,2017-06-17T16:00:00.000Z
-482.0,27.1873,2017-06-17T17:00:00.000Z
-799.0,-136.216,2017-06-17T18:00:00.000Z
-930.0,-492.245,2017-06-17T19:00:00.000Z
-991.0,-534.852,2017-06-17T20:00:00.000Z
-961.0,-530.501,2017-06-17T21:00:00.000Z
-827.0,-219.145,2017-06-17T22:00:00.000Z
-605.0,5.46924,2017-06-17T23:00:00.000Z
-161.0,637.738,2017-06-18T00:00:00.000Z
547.0,1453.69,2017-06-18T01:00:00.000Z
1042.0,1633.05,2017-06-18T02:00:00.000Z
962.0,1380.97,2017-06-18T03:00:00.000Z
1072.0,1044.74,2017-06-18T04:00:00.000Z
884.0,846.677,2017-06-18T05:00:00.000Z
873.0,620.505,2017-06-18T06:00:00.000Z
521.0,501.859,2017-06-18T07:00:00.000Z
515.0,501.306,2017-06-18T08:00:00.000Z
527.0,510.306,2017-06-18T09:00:00.000Z
522.0,520.109,2017-06-18T10:00:00.000Z
645.0,665.925,2017-06-18T11:00:00.000Z
670.0,627.841,2017-06-18T13:00:00.000Z
549.0,731.013,2017-06-18T14:00:00.000Z
515.0,562.806,2017-06-18T15:00:00.000Z
291.0,352.662,2017-06-18T16:00:00.000Z
-438.0,-372.867,2017-06-18T17:00:00.000Z
760.0,-646.366,2017-06-18T18:00:00.000Z
-629.0,-552.507,2017-06-18T19:00:00.000Z
-858.0,-398.286,2017-06-18T20:00:00.000Z
-842.0,-279.569,2017-06-18T21:00:00.000Z
-549.0,-45.9578,2017-06-18T22:00:00.000Z
-415.0,271.644,2017-06-18T23:00:00.000Z
86.0,677.163,2017-06-19T00:00:00.000Z
555.0,1457.12,2017-06-19T01:00:00.000Z
2483.0,1359.22,2017-06-19T02:00:00.000Z
1174.0,1385.83,2017-06-19T03:00:00.000Z
1057.0,1314.15,2017-06-19T04:00:00.000Z
813.0,835.47,2017-06-19T05:00:00.000Z
819.0,677.847,2017-06-19T06:00:00.000Z
476.0,497.227,2017-06-19T07:00:00.000Z
456.0,503.625,2017-06-19T08:00:00.000Z
465.0,504.656,2017-06-19T09:00:00.000Z
456.0,517.493,2017-06-19T10:00:00.000Z
468.0,602.841,2017-06-19T11:00:00.000Z
797.0,645.783,2017-06-19T13:00:00.000Z
1393.0,801.27,2017-06-19T14:00:00.000Z
632.0,456.241,2017-06-19T15:00:00.000Z
-215.0,84.4479,2017-06-19T16:00:00.000Z
-239.0,175.204,2017-06-19T17:00:00.000Z
-687.0,-159.494,2017-06-19T18:00:00.000Z
-876.0,-608.718,2017-06-19T19:00:00.000Z
-409.0,-609.15,2017-06-19T20:00:00.000Z
-658.0,-535.233,2017-06-19T21:00:00.000Z
-723.0,-248.385,2017-06-19T22:00:00.000Z
-593.0,137.151,2017-06-19T23:00:00.000Z
198.0,1020.86,2017-06-20T00:00:00.000Z
1023.0,1278.59,2017-06-20T01:00:00.000Z
990.0,1361.58,2017-06-20T02:00:00.000Z
1009.0,1531.77,2017-06-20T03:00:00.000Z
803.0,1492.64,2017-06-20T04:00:00.000Z
746.0,985.806,2017-06-20T05:00:00.000Z
477.0,727.879,2017-06-20T06:00:00.000Z
444.0,468.129,2017-06-20T07:00:00.000Z
411.0,502.074,2017-06-20T08:00:00.000Z
413.0,466.133,2017-06-20T09:00:00.000Z
423.0,432.567,2017-06-20T10:00:00.000Z
478.0,541.395,2017-06-20T11:00:00.000Z
760.0,458.346,2017-06-20T13:00:00.000Z
1101.0,290.379,2017-06-20T14:00:00.000Z
551.0,722.604,2017-06-20T15:00:00.000Z
878.0,567.104,2017-06-20T16:00:00.000Z
-577.0,-200.854,2017-06-20T17:00:00.000Z
-856.0,-52.2242,2017-06-20T18:00:00.000Z
954.0,-122.72,2017-06-20T19:00:00.000Z
-32.0,-340.485,2017-06-20T20:00:00.000Z
-220.0,-169.187,2017-06-20T21:00:00.000Z
-530.0,-580.78,2017-06-20T22:00:00.000Z
-334.0,192.701,2017-06-20T23:00:00.000Z
626.0,588.57,2017-06-21T00:00:00.000Z
490.0,1105.24,2017-06-21T01:00:00.000Z
906.0,1338.14,2017-06-21T02:00:00.000Z
976.0,1436.73,2017-06-21T03:00:00.000Z
843.0,976.152,2017-06-21T04:00:00.000Z
429.0,705.242,2017-06-21T05:00:00.000Z
428.0,583.076,2017-06-21T06:00:00.000Z
394.0,613.562,2017-06-21T07:00:00.000Z
407.0,550.569,2017-06-21T08:00:00.000Z
416.0,462.93,2017-06-21T09:00:00.000Z
410.0,403.161,2017-06-21T10:00:00.000Z
