wattHours,predictedWattHours,created
302.0,323.868,2017-06-09T16:00:00.000Z
22.0,113.205,2017-06-09T17:00:00.000Z
0.0,7.88885,2017-06-09T18:00:00.000Z
0.0,9.56485,2017-06-09T19:00:00.000Z
0.0,16.5547,2017-06-09T20:00:00.000Z
0.0,16.9465,2017-06-09T21:00:00.000Z
0.0,-2.02993,2017-06-09T22:00:00.000Z
0.0,-1.79322,2017-06-09T23:00:00.000Z
0.0,0.0134783,2017-06-10T00:00:00.000Z
0.0,0.305527,2017-06-10T01:00:00.000Z
0.0,1.37823,2017-06-10T02:00:00.000Z
50.0,29.6199,2017-06-10T03:00:00.000Z
132.0,114.804,2017-06-10T04:00:00.000Z
243.0,323.086,2017-06-10T05:00:00.000Z
701.0,735.638,2017-06-10T06:00:00.000Z
499.0,738.319,2017-06-10T07:00:00.000Z
397.0,1271.01,2017-06-10T08:00:00.000Z
183.0,1111.51,2017-06-10T09:00:00.000Z
649.0,1619.83,2017-06-10T10:00:00.000Z
1491.0,489.561,2017-06-10T11:00:00.000Z
749.0,859.808,2017-06-10T13:00:00.000Z
590.0,755.731,2017-06-10T14:00:00.000Z
586.0,555.072,2017-06-10T15:00:00.000Z
96.0,121.247,2017-06-10T16:00:00.000Z
4.0,7.88885,2017-06-10T17:00:00.000Z
0.0,9.56485,2017-06-10T18:00:00.000Z
0.0,16.5547,2017-06-10T19:00:00.000Z
0.0,16.9465,2017-06-10T20:00:00.000Z
0.0,6.02464,2017-06-10T21:00:00.000Z
0.0,6.91901,2017-06-10T22:00:00.000Z
0.0,6.3533,2017-06-10T23:00:00.000Z
0.0,4.87544,2017-06-11T00:00:00.000Z
0.0,6.84354,2017-06-11T01:00:00.000Z
32.0,29.6199,2017-06-11T02:00:00.000Z
173.0,135.252,2017-06-11T03:00:00.000Z
282.0,303.345,2017-06-11T04:00:00.000Z
956.0,728.531,2017-06-11T05:00:00.000Z
866.0,895.95,2017-06-11T06:00:00.000Z
1133.0,912.579,2017-06-11T07:00:00.000Z
1385.0,1034.14,2017-06-11T08:00:00.000Z
1504.0,1378.57,2017-06-11T09:00:00.000Z
1715.0,1101.0,2017-06-11T10:00:00.000Z
1596.0,1026.02,2017-06-11T11:00:00.000Z
1355.0,680.247,2017-06-11T13:00:00.000Z
982.0,525.084,2017-06-11T14:00:00.000Z
504.0,328.187,2017-06-11T15:00:00.000Z
95.0,69.2585,2017-06-11T16:00:00.000Z
3.0,-3.22508,2017-06-11T17:00:00.000Z
0.0,-4.1165,2017-06-11T18:00:00.000Z
0.0,-1.95583,2017-06-11T19:00:00.000Z
0.0,-1.95965,2017-06-11T20:00:00.000Z
0.0,-2.02993,2017-06-11T21:00:00.000Z
0.0,-1.79322,2017-06-11T22:00:00.000Z
0.0,0.0134783,2017-06-11T23:00:00.000Z
0.0,0.305527,2017-06-12T00:00:00.000Z
0.0,1.37823,2017-06-12T01:00:00.000Z
32.0,32.8521,2017-06-12T02:00:00.000Z
94.0,165.047,2017-06-12T03:00:00.000Z
392.0,280.841,2017-06-12T04:00:00.000Z
873.0,743.69,2017-06-12T05:00:00.000Z
1297.0,819.116,2017-06-12T06:00:00.000Z
1052.0,938.736,2017-06-12T07:00:00.000Z
1719.0,893.931,2017-06-12T08:00:00.000Z
1753.0,1221.57,2017-06-12T09:00:00.000Z
1732.0,1137.59,2017-06-12T10:00:00.000Z
1612.0,954.164,2017-06-12T11:00:00.000Z
1373.0,809.093,2017-06-12T13:00:00.000Z
1007.0,489.932,2017-06-12T14:00:00.000Z
517.0,195.284,2017-06-12T15:00:00.000Z
103.0,22.863,2017-06-12T16:00:00.000Z
4.0,-3.97976,2017-06-12T17:00:00.000Z
0.0,-4.1165,2017-06-12T18:00:00.000Z
0.0,-1.95583,2017-06-12T19:00:00.000Z
0.0,-1.95965,2017-06-12T20:00:00.000Z
0.0,-2.02993,2017-06-12T21:00:00.000Z
0.0,-1.79322,2017-06-12T22:00:00.000Z
0.0,0.0134783,2017-06-12T23:00:00.000Z
0.0,0.305527,2017-06-13T00:00:00.000Z
0.0,1.37823,2017-06-13T01:00:00.000Z
30.0,22.708,2017-06-13T02:00:00.000Z
77.0,126.124,2017-06-13T03:00:00.000Z
365.0,311.123,2017-06-13T04:00:00.000Z
853.0,422.569,2017-06-13T05:00:00.000Z
1129.0,725.534,2017-06-13T06:00:00.000Z
1436.0,922.634,2017-06-13T07:00:00.000Z
1689.0,1180.93,2017-06-13T08:00:00.000Z
1739.0,1218.7,2017-06-13T09:00:00.000Z
1706.0,1171.3,2017-06-13T10:00:00.000Z
1576.0,1196.18,2017-06-13T11:00:00.000Z
1342.0,627.04,2017-06-13T13:00:00.000Z
949.0,399.994,2017-06-13T14:00:00.000Z
388.0,361.711,2017-06-13T15:00:00.000Z
144.0,53.7681,2017-06-13T16:00:00.000Z
6.0,-2.72829,2017-06-13T17:00:00.000Z
0.0,-4.1165,2017-06-13T18:00:00.000Z
0.0,-1.95583,2017-06-13T19:00:00.000Z
0.0,-1.95965,2017-06-13T20:00:00.000Z
0.0,-2.02993,2017-06-13T21:00:00.000Z
0.0,-1.79322,2017-06-13T22:00:00.000Z
0.0,0.0134783,2017-06-13T23:00:00.000Z
0.0,0.305527,2017-06-14T00:00:00.000Z
0.0,1.37823,2017-06-14T01:00:00.000Z
30.0,33.9467,2017-06-14T02:00:00.000Z
82.0,177.823,2017-06-14T03:00:00.000Z
360.0,448.4,2017-06-14T04:00:00.000Z
829.0,694.047,2017-06-14T05:00:00.000Z
1214.0,1039.1,2017-06-14T06:00:00.000Z
1474.0,914.185,2017-06-14T07:00:00.000Z
1627.0,1490.47,2017-06-14T08:00:00.000Z
1713.0,1388.72,2017-06-14T09:00:00.000Z
1678.0,1295.76,2017-06-14T10:00:00.000Z
1531.0,1139.75,2017-06-14T11:00:00.000Z
1301.0,1012.04,2017-06-14T13:00:00.000Z
938.0,652.721,2017-06-14T14:00:00.000Z
484.0,334.154,2017-06-14T15:00:00.000Z
105.0,61.296,2017-06-14T16:00:00.000Z
5.0,-3.73115,2017-06-14T17:00:00.000Z
0.0,-4.1165,2017-06-14T18:00:00.000Z
0.0,-1.95583,2017-06-14T19:00:00.000Z
0.0,-1.95965,2017-06-14T20:00:00.000Z
0.0,-2.02993,2017-06-14T21:00:00.000Z
0.0,-1.79322,2017-06-14T22:00:00.000Z
0.0,0.0134783,2017-06-14T23:00:00.000Z
0.0,0.305527,2017-06-15T00:00:00.000Z
0.0,1.37823,2017-06-15T01:00:00.000Z
36.0,34.9648,2017-06-15T02:00:00.000Z
170.0,160.379,2017-06-15T03:00:00.000Z
267.0,341.361,2017-06-15T04:00:00.000Z
732.0,671.84,2017-06-15T05:00:00.000Z
1299.0,1142.74,2017-06-15T06:00:00.000Z
1134.0,1253.06,2017-06-15T07:00:00.000Z
1577.0,1303.9,2017-06-15T08:00:00.000Z
1757.0,1394.53,2017-06-15T09:00:00.000Z
1718.0,1400.89,2017-06-15T10:00:00.000Z
1584.0,829.582,2017-06-15T11:00:00.000Z
1234.0,781.49,2017-06-15T13:00:00.000Z
801.0,555.533,2017-06-15T14:00:00.000Z
468.0,388.943,2017-06-15T15:00:00.000Z
120.0,104.32,2017-06-15T16:00:00.000Z
6.0,8.51245,2017-06-15T17:00:00.000Z
0.0,9.56485,2017-06-15T18:00:00.000Z
0.0,16.5547,2017-06-15T19:00:00.000Z
0.0,16.9465,2017-06-15T20:00:00.000Z
0.0,-2.02993,2017-06-15T21:00:00.000Z
0.0,-1.79322,2017-06-15T22:00:00.000Z
0.0,0.0134783,2017-06-15T23:00:00.000Z
0.0,0.305527,2017-06-16T00:00:00.000Z
0.0,1.37823,2017-06-16T01:00:00.000Z
43.0,34.1681,2017-06-16T02:00:00.000Z
171.0,161.089,2017-06-16T03:00:00.000Z
504.0,306.055,2017-06-16T04:00:00.000Z
906.0,562.152,2017-06-16T05:00:00.000Z
1195.0,734.085,2017-06-16T06:00:00.000Z
1459.0,862.948,2017-06-16T07:00:00.000Z
1607.0,1326.12,2017-06-16T08:00:00.000Z
1719.0,1403.0,2017-06-16T09:00:00.000Z
1657.0,1191.13,2017-06-16T10:00:00.000Z
1500.0,1099.9,2017-06-16T11:00:00.000Z
1350.0,1001.13,2017-06-16T13:00:00.000Z
966.0,711.47,2017-06-16T14:00:00.000Z
530.0,432.823,2017-06-16T15:00:00.000Z
133.0,82.73,2017-06-16T16:00:00.000Z
7.0,7.60733,2017-06-16T17:00:00.000Z
0.0,9.56485,2017-06-16T18:00:00.000Z
0.0,16.5547,2017-06-16T19:00:00.000Z
0.0,16.9465,2017-06-16T20:00:00.000Z
0.0,6.02464,2017-06-16T21:00:00.000Z
0.0,6.91901,2017-06-16T22:00:00.000Z
0.0,6.3533,2017-06-16T23:00:00.000Z
0.0,4.87544,2017-06-17T00:00:00.000Z
0.0,6.84354,2017-06-17T01:00:00.000Z
34.0,62.7566,2017-06-17T02:00:00.000Z
93.0,189.631,2017-06-17T03:00:00.000Z
391.0,371.933,2017-06-17T04:00:00.000Z
1019.0,780.529,2017-06-17T05:00:00.000Z
1417.0,1101.93,2017-06-17T06:00:00.000Z
1710.0,1397.92,2017-06-17T07:00:00.000Z
1613.0,1524.78,2017-06-17T08:00:00.000Z
1673.0,1444.39,2017-06-17T09:00:00.000Z
1729.0,1337.99,2017-06-17T10:00:00.000Z
1585.0,1207.11,2017-06-17T11:00:00.000Z
1347.0,730.129,2017-06-17T13:00:00.000Z
980.0,577.257,2017-06-17T14:00:00.000Z
512.0,423.894,2017-06-17T15:00:00.000Z
109.0,153.973,2017-06-17T16:00:00.000Z
5.0,11.2273,2017-06-17T17:00:00.000Z
0.0,9.56485,2017-06-17T18:00:00.000Z
0.0,16.5547,2017-06-17T19:00:00.000Z
0.0,16.9465,2017-06-17T20:00:00.000Z
0.0,6.02464,2017-06-17T21:00:00.000Z
0.0,6.91901,2017-06-17T22:00:00.000Z
0.0,6.3533,2017-06-17T23:00:00.000Z
0.0,4.87549,2017-06-18T00:00:00.000Z
0.0,6.84354,2017-06-18T01:00:00.000Z
38.0,47.9128,2017-06-18T02:00:00.000Z
129.0,226.387,2017-06-18T03:00:00.000Z
318.0,288.437,2017-06-18T04:00:00.000Z
413.0,776.926,2017-06-18T05:00:00.000Z
600.0,871.193,2017-06-18T06:00:00.000Z
1459.0,1041.89,2017-06-18T07:00:00.000Z
