wattHours,predictedWattHours,created
103.0,174.94,2017-11-15T12:00:00.000Z
207.0,-244.171,2017-11-15T13:00:00.000Z
238.0,149.239,2017-11-15T14:00:00.000Z
169.0,-106.596,2017-11-15T15:00:00.000Z
0.0,1882.42,2017-11-15T16:00:00.000Z
308.0,-105.848,2017-11-15T17:00:00.000Z
175.0,-127.253,2017-11-15T18:00:00.000Z
1578.0,1014.11,2017-11-15T19:00:00.000Z
1277.0,560.084,2017-11-15T20:00:00.000Z
1441.0,596.568,2017-11-15T21:00:00.000Z
403.0,352.019,2017-11-15T22:00:00.000Z
306.0,352.616,2017-11-16T00:00:00.000Z
153.0,161.305,2017-11-16T01:00:00.000Z
114.0,-5.35962,2017-11-16T02:00:00.000Z
131.0,-65.266,2017-11-16T03:00:00.000Z
123.0,-71.4962,2017-11-16T04:00:00.000Z
114.0,-85.7744,2017-11-16T05:00:00.000Z
133.0,-104.43,2017-11-16T06:00:00.000Z
1678.0,819.052,2017-11-16T07:00:00.000Z
1749.0,629.71,2017-11-16T09:00:00.000Z
216.0,90.7702,2017-11-16T10:00:00.000Z
17.0,67.1552,2017-11-16T12:00:00.000Z
37.0,-42.703,2017-11-16T13:00:00.000Z
7.0,-165.028,2017-11-16T14:00:00.000Z
21.0,143.283,2017-11-16T15:00:00.000Z
36.0,-35.8613,2017-11-16T16:00:00.000Z
2.0,-45.2453,2017-11-16T17:00:00.000Z
0.0,145.941,2017-11-16T18:00:00.000Z
8.0,-61.3765,2017-11-16T19:00:00.000Z
1599.0,1365.42,2017-11-16T20:00:00.000Z
1671.0,790.355,2017-11-16T21:00:00.000Z
134.0,1233.55,2017-11-16T22:00:00.000Z
118.0,574.081,2017-11-16T23:00:00.000Z
120.0,569.092,2017-11-17T00:00:00.000Z
807.0,476.684,2017-11-17T01:00:00.000Z
384.0,421.486,2017-11-17T02:00:00.000Z
136.0,96.0239,2017-11-17T03:00:00.000Z
126.0,-12.9572,2017-11-17T04:00:00.000Z
117.0,-29.7414,2017-11-17T05:00:00.000Z
135.0,-29.6718,2017-11-17T06:00:00.000Z
110.0,-58.7621,2017-11-17T07:00:00.000Z
226.0,-41.0782,2017-11-17T08:00:00.000Z
112.0,-30.1745,2017-11-17T09:00:00.000Z
32.0,-84.5048,2017-11-17T10:00:00.000Z
0.0,-189.436,2017-11-17T12:00:00.000Z
0.0,-94.5721,2017-11-17T13:00:00.000Z
42.0,325.747,2017-11-17T14:00:00.000Z
440.0,908.446,2017-11-17T15:00:00.000Z
799.0,183.817,2017-11-17T16:00:00.000Z
483.0,20.9521,2017-11-17T17:00:00.000Z
0.0,552.311,2017-11-17T18:00:00.000Z
0.0,889.035,2017-11-17T19:00:00.000Z
1654.0,1259.48,2017-11-17T20:00:00.000Z
143.0,976.559,2017-11-17T21:00:00.000Z
148.0,604.043,2017-11-17T22:00:00.000Z
1264.0,997.41,2017-11-17T23:00:00.000Z
287.0,453.844,2017-11-18T00:00:00.000Z
288.0,389.333,2017-11-18T01:00:00.000Z
765.0,398.077,2017-11-18T02:00:00.000Z
112.0,-38.8443,2017-11-18T03:00:00.000Z
86.0,-46.463,2017-11-18T04:00:00.000Z
113.0,-69.6444,2017-11-18T05:00:00.000Z
97.0,-103.103,2017-11-18T06:00:00.000Z
102.0,-97.8544,2017-11-18T07:00:00.000Z
256.0,633.47,2017-11-18T08:00:00.000Z
1641.0,454.161,2017-11-18T09:00:00.000Z
0.0,-8.11368,2017-11-18T10:00:00.000Z
0.0,428.325,2017-11-18T12:00:00.000Z
3.0,396.924,2017-11-18T13:00:00.000Z
4.0,225.224,2017-11-18T14:00:00.000Z
0.0,13.0277,2017-11-18T15:00:00.000Z
0.0,382.133,2017-11-18T16:00:00.000Z
82.0,468.73,2017-11-18T17:00:00.000Z
0.0,-119.495,2017-11-18T18:00:00.000Z
0.0,-116.508,2017-11-18T19:00:00.000Z
1589.0,1409.62,2017-11-18T20:00:00.000Z
190.0,1062.5,2017-11-18T21:00:00.000Z
306.0,1281.15,2017-11-18T22:00:00.000Z
924.0,915.545,2017-11-18T23:00:00.000Z
365.0,356.486,2017-11-19T00:00:00.000Z
313.0,248.6,2017-11-19T01:00:00.000Z
97.0,653.125,2017-11-19T02:00:00.000Z
80.0,14.4434,2017-11-19T03:00:00.000Z
91.0,-37.2509,2017-11-19T04:00:00.000Z
90.0,-36.8358,2017-11-19T05:00:00.000Z
63.0,-50.66,2017-11-19T06:00:00.000Z
90.0,-78.6544,2017-11-19T07:00:00.000Z
91.0,-101.151,2017-11-19T08:00:00.000Z
2176.0,967.139,2017-11-19T09:00:00.000Z
0.0,-50.6286,2017-11-19T10:00:00.000Z
251.0,-179.192,2017-11-19T12:00:00.000Z
6.0,-193.898,2017-11-19T13:00:00.000Z
62.0,-231.477,2017-11-19T14:00:00.000Z
0.0,-204.597,2017-11-19T15:00:00.000Z
0.0,-53.0895,2017-11-19T16:00:00.000Z
0.0,-164.537,2017-11-19T17:00:00.000Z
0.0,-71.8472,2017-11-19T18:00:00.000Z
157.0,-20.0192,2017-11-19T19:00:00.000Z
1676.0,1415.63,2017-11-19T20:00:00.000Z
96.0,319.081,2017-11-19T21:00:00.000Z
189.0,135.521,2017-11-19T22:00:00.000Z
143.0,149.311,2017-11-19T23:00:00.000Z
119.0,293.221,2017-11-20T00:00:00.000Z
1300.0,279.929,2017-11-20T01:00:00.000Z
1105.0,219.007,2017-11-20T02:00:00.000Z
109.0,-8.21412,2017-11-20T03:00:00.000Z
87.0,-32.5265,2017-11-20T04:00:00.000Z
71.0,-63.0281,2017-11-20T05:00:00.000Z
78.0,-87.2526,2017-11-20T06:00:00.000Z
86.0,-89.869,2017-11-20T07:00:00.000Z
87.0,703.152,2017-11-20T08:00:00.000Z
318.0,607.518,2017-11-20T09:00:00.000Z
191.0,-139.66,2017-11-20T10:00:00.000Z
88.0,-172.709,2017-11-20T12:00:00.000Z
25.0,63.5,2017-11-20T13:00:00.000Z
14.0,-188.101,2017-11-20T14:00:00.000Z
