wattHours,predictedWattHours,created
1300.0,588.569,2017-06-15T12:30:00.000Z
873.0,564.66,2017-06-15T13:00:00.000Z
1105.0,495.217,2017-06-15T13:30:00.000Z
933.0,430.929,2017-06-15T14:00:00.000Z
135.0,341.985,2017-06-15T14:30:00.000Z
109.0,307.007,2017-06-15T15:00:00.000Z
77.0,273.569,2017-06-15T15:30:00.000Z
87.0,254.707,2017-06-15T16:00:00.000Z
86.0,223.561,2017-06-15T16:30:00.000Z
71.0,201.861,2017-06-15T17:00:00.000Z
86.0,189.585,2017-06-15T17:30:00.000Z
78.0,180.338,2017-06-15T18:00:00.000Z
78.0,184.563,2017-06-15T18:30:00.000Z
86.0,191.818,2017-06-15T19:00:00.000Z
68.0,200.09,2017-06-15T19:30:00.000Z
87.0,820.892,2017-06-15T20:00:00.000Z
218.0,813.191,2017-06-15T20:30:00.000Z
318.0,782.579,2017-06-15T21:00:00.000Z
200.0,242.744,2017-06-15T21:30:00.000Z
191.0,228.08,2017-06-15T22:00:00.000Z
78.0,182.138,2017-06-15T22:30:00.000Z
88.0,190.875,2017-06-15T23:00:00.000Z
10.0,230.123,2017-06-15T23:30:00.000Z
25.0,238.99,2017-06-16T00:00:00.000Z
9.0,118.729,2017-06-16T00:30:00.000Z
14.0,123.726,2017-06-16T01:00:00.000Z
44.0,129.639,2017-06-16T01:30:00.000Z
0.0,28.9726,2017-06-16T02:00:00.000Z
0.0,27.5526,2017-06-16T02:30:00.000Z
0.0,74.3838,2017-06-16T03:00:00.000Z
887.0,306.902,2017-06-16T03:30:00.000Z
73.0,368.01,2017-06-16T04:00:00.000Z
82.0,431.831,2017-06-16T04:30:00.000Z
96.0,719.878,2017-06-16T05:00:00.000Z
182.0,957.811,2017-06-16T05:30:00.000Z
506.0,771.559,2017-06-16T06:00:00.000Z
375.0,649.384,2017-06-16T06:30:00.000Z
774.0,602.229,2017-06-16T07:00:00.000Z
304.0,595.198,2017-06-16T07:30:00.000Z
181.0,628.053,2017-06-16T08:00:00.000Z
91.0,620.822,2017-06-16T08:30:00.000Z
86.0,670.121,2017-06-16T09:00:00.000Z
65.0,832.126,2017-06-16T09:30:00.000Z
80.0,785.294,2017-06-16T10:00:00.000Z
71.0,717.562,2017-06-16T10:30:00.000Z
87.0,307.505,2017-06-16T11:00:00.000Z
75.0,276.716,2017-06-16T11:30:00.000Z
73.0,254.939,2017-06-16T12:30:00.000Z
87.0,230.988,2017-06-16T13:00:00.000Z
73.0,234.754,2017-06-16T13:30:00.000Z
72.0,240.78,2017-06-16T14:00:00.000Z
89.0,239.167,2017-06-16T14:30:00.000Z
76.0,253.328,2017-06-16T15:00:00.000Z
191.0,260.628,2017-06-16T15:30:00.000Z
725.0,862.687,2017-06-16T16:00:00.000Z
171.0,713.256,2017-06-16T16:30:00.000Z
391.0,626.898,2017-06-16T17:00:00.000Z
170.0,275.376,2017-06-16T17:30:00.000Z
140.0,229.596,2017-06-16T18:00:00.000Z
13.0,188.242,2017-06-16T18:30:00.000Z
83.0,187.879,2017-06-16T19:00:00.000Z
169.0,142.492,2017-06-16T19:30:00.000Z
368.0,247.352,2017-06-16T20:00:00.000Z
0.0,201.176,2017-06-16T20:30:00.000Z
0.0,209.301,2017-06-16T21:00:00.000Z
0.0,115.629,2017-06-16T21:30:00.000Z
42.0,23.961,2017-06-16T22:00:00.000Z
3.0,86.0139,2017-06-16T22:30:00.000Z
0.0,142.699,2017-06-16T23:00:00.000Z
0.0,143.616,2017-06-16T23:30:00.000Z
25.0,99.936,2017-06-17T00:00:00.000Z
0.0,168.036,2017-06-17T00:30:00.000Z
0.0,186.312,2017-06-17T01:00:00.000Z
0.0,182.419,2017-06-17T01:30:00.000Z
161.0,181.065,2017-06-17T02:00:00.000Z
70.0,166.761,2017-06-17T02:30:00.000Z
1599.0,259.75,2017-06-17T03:00:00.000Z
707.0,452.693,2017-06-17T03:30:00.000Z
80.0,480.043,2017-06-17T04:00:00.000Z
113.0,716.874,2017-06-17T04:30:00.000Z
193.0,544.615,2017-06-17T05:00:00.000Z
323.0,672.596,2017-06-17T05:30:00.000Z
290.0,392.433,2017-06-17T06:00:00.000Z
963.0,424.243,2017-06-17T06:30:00.000Z
509.0,448.608,2017-06-17T07:00:00.000Z
370.0,466.637,2017-06-17T07:30:00.000Z
880.0,493.417,2017-06-17T08:00:00.000Z
506.0,415.254,2017-06-17T08:30:00.000Z
544.0,361.696,2017-06-17T09:00:00.000Z
