wattHours,predictedWattHours,created
1.7763568394e-14,3.76071,2017-06-14T16:30:00.000Z
1.7763568394e-14,3.98931,2017-06-14T17:00:00.000Z
1.7763568394e-14,4.08677,2017-06-14T17:30:00.000Z
1.7763568394e-14,4.4137,2017-06-14T18:00:00.000Z
1.7763568394e-14,5.32879,2017-06-14T18:30:00.000Z
1.7763568394e-14,5.82038,2017-06-14T19:00:00.000Z
1.7763568394e-14,6.27258,2017-06-14T19:30:00.000Z
1.7763568394e-14,6.78078,2017-06-14T20:00:00.000Z
1.7763568394e-14,7.3233,2017-06-14T20:30:00.000Z
1.7763568394e-14,7.87006,2017-06-14T21:00:00.000Z
1.7763568394e-14,8.69248,2017-06-14T21:30:00.000Z
1.7763568394e-14,9.85177,2017-06-14T22:00:00.000Z
1.7763568394e-14,11.2282,2017-06-14T22:30:00.000Z
1.7763568394e-14,13.1549,2017-06-14T23:00:00.000Z
1.7763568394e-14,15.5855,2017-06-14T23:30:00.000Z
-1.0,19.4833,2017-06-15T00:00:00.000Z
13.0,48.649,2017-06-15T00:30:00.000Z
59.0,170.849,2017-06-15T01:00:00.000Z
77.0,285.303,2017-06-15T01:30:00.000Z
297.0,314.74,2017-06-15T02:00:00.000Z
210.0,333.598,2017-06-15T02:30:00.000Z
182.0,345.368,2017-06-15T03:00:00.000Z
577.0,373.294,2017-06-15T03:30:00.000Z
515.0,391.324,2017-06-15T04:00:00.000Z
518.0,436.238,2017-06-15T04:30:00.000Z
394.0,436.325,2017-06-15T05:00:00.000Z
515.0,437.799,2017-06-15T05:30:00.000Z
643.0,433.677,2017-06-15T06:00:00.000Z
573.0,465.238,2017-06-15T06:30:00.000Z
540.0,468.64,2017-06-15T07:00:00.000Z
83.0,118.467,2017-06-15T07:30:00.000Z
40.0,82.6275,2017-06-15T08:00:00.000Z
22.0,39.5868,2017-06-15T08:30:00.000Z
20.0,19.9283,2017-06-15T09:00:00.000Z
4.0,7.15345,2017-06-15T09:30:00.000Z
-1.0,6.18117,2017-06-15T10:00:00.000Z
1.7763568394e-14,4.26319,2017-06-15T10:30:00.000Z
1.7763568394e-14,2.74546,2017-06-15T11:00:00.000Z
1.7763568394e-14,2.95902,2017-06-15T11:30:00.000Z
1.7763568394e-14,3.18169,2017-06-15T12:30:00.000Z
1.7763568394e-14,1.83873,2017-06-15T13:00:00.000Z
1.7763568394e-14,1.91301,2017-06-15T13:30:00.000Z
1.7763568394e-14,2.02396,2017-06-15T14:00:00.000Z
1.7763568394e-14,3.35172,2017-06-15T14:30:00.000Z
1.7763568394e-14,3.66114,2017-06-15T15:00:00.000Z
1.7763568394e-14,3.96161,2017-06-15T15:30:00.000Z
1.7763568394e-14,4.27936,2017-06-15T16:00:00.000Z
1.7763568394e-14,4.77693,2017-06-15T16:30:00.000Z
1.7763568394e-14,5.39876,2017-06-15T17:00:00.000Z
1.7763568394e-14,6.19342,2017-06-15T17:30:00.000Z
1.7763568394e-14,7.05287,2017-06-15T18:00:00.000Z
1.7763568394e-14,5.53014,2017-06-15T18:30:00.000Z
1.7763568394e-14,6.46136,2017-06-15T19:00:00.000Z
1.7763568394e-14,7.70084,2017-06-15T19:30:00.000Z
1.7763568394e-14,9.11589,2017-06-15T20:00:00.000Z
22.0,27.2666,2017-06-15T20:30:00.000Z
38.0,174.603,2017-06-15T21:00:00.000Z
189.0,299.882,2017-06-15T21:30:00.000Z
300.0,334.708,2017-06-15T22:00:00.000Z
413.0,352.18,2017-06-15T22:30:00.000Z
509.0,341.542,2017-06-15T23:00:00.000Z
524.0,371.939,2017-06-15T23:30:00.000Z
547.0,321.105,2017-06-16T00:00:00.000Z
560.0,376.69,2017-06-16T00:30:00.000Z
579.0,346.779,2017-06-16T01:00:00.000Z
580.0,406.353,2017-06-16T01:30:00.000Z
578.0,464.268,2017-06-16T02:00:00.000Z
563.0,429.73,2017-06-16T02:30:00.000Z
544.0,427.757,2017-06-16T03:00:00.000Z
511.0,410.018,2017-06-16T03:30:00.000Z
478.0,421.831,2017-06-16T04:00:00.000Z
438.0,405.794,2017-06-16T04:30:00.000Z
387.0,381.734,2017-06-16T05:00:00.000Z
327.0,338.256,2017-06-16T05:30:00.000Z
259.0,311.242,2017-06-16T06:00:00.000Z
186.0,261.461,2017-06-16T06:30:00.000Z
116.0,204.71,2017-06-16T07:00:00.000Z
58.0,143.855,2017-06-16T07:30:00.000Z
33.0,123.767,2017-06-16T08:00:00.000Z
27.0,68.1543,2017-06-16T08:30:00.000Z
12.0,42.1788,2017-06-16T09:00:00.000Z
-1.0,24.8548,2017-06-16T09:30:00.000Z
1.7763568394e-14,17.3123,2017-06-16T10:00:00.000Z
1.7763568394e-14,14.0065,2017-06-16T10:30:00.000Z
1.7763568394e-14,11.0064,2017-06-16T11:00:00.000Z
1.7763568394e-14,8.64788,2017-06-16T11:30:00.000Z
1.7763568394e-14,7.23799,2017-06-16T12:30:00.000Z
1.7763568394e-14,7.7676,2017-06-16T13:00:00.000Z
1.7763568394e-14,8.278,2017-06-16T13:30:00.000Z
1.7763568394e-14,5.92663,2017-06-16T14:00:00.000Z
1.7763568394e-14,4.45834,2017-06-16T14:30:00.000Z
1.7763568394e-14,4.94774,2017-06-16T15:00:00.000Z
1.7763568394e-14,3.15117,2017-06-16T15:30:00.000Z
1.7763568394e-14,3.95838,2017-06-16T16:00:00.000Z
1.7763568394e-14,4.98763,2017-06-16T16:30:00.000Z
