wattHours,predictedWattHours,created
876.0,1060.27,2017-08-24T10:30:00.000Z
863.0,1062.81,2017-08-24T11:00:00.000Z
900.0,1032.28,2017-08-24T11:30:00.000Z
862.0,1064.32,2017-08-24T12:30:00.000Z
895.0,1040.39,2017-08-24T13:00:00.000Z
852.0,1067.33,2017-08-24T13:30:00.000Z
807.0,1094.76,2017-08-24T14:00:00.000Z
919.0,1128.87,2017-08-24T14:30:00.000Z
839.0,1159.0,2017-08-24T15:00:00.000Z
904.0,1175.33,2017-08-24T15:30:00.000Z
877.0,1268.44,2017-08-24T16:00:00.000Z
876.0,1325.12,2017-08-24T16:30:00.000Z
913.0,1300.0,2017-08-24T17:00:00.000Z
863.0,1282.88,2017-08-24T17:30:00.000Z
970.0,1281.4,2017-08-24T18:00:00.000Z
896.0,1268.39,2017-08-24T18:30:00.000Z
961.0,850.232,2017-08-24T19:00:00.000Z
970.0,931.965,2017-08-24T19:30:00.000Z
979.0,957.04,2017-08-24T20:00:00.000Z
920.0,1047.85,2017-08-24T20:30:00.000Z
1050.0,1126.5,2017-08-24T21:00:00.000Z
998.0,1132.36,2017-08-24T21:30:00.000Z
1045.0,1196.16,2017-08-24T22:00:00.000Z
1027.0,1166.31,2017-08-24T22:30:00.000Z
993.0,1515.97,2017-08-24T23:00:00.000Z
994.0,1576.97,2017-08-24T23:30:00.000Z
862.0,1493.27,2017-08-25T00:00:00.000Z
1055.0,1423.23,2017-08-25T00:30:00.000Z
999.0,1375.04,2017-08-25T01:00:00.000Z
1041.0,1478.27,2017-08-25T01:30:00.000Z
975.0,1453.92,2017-08-25T02:00:00.000Z
961.0,1467.94,2017-08-25T02:30:00.000Z
1068.0,1467.14,2017-08-25T03:00:00.000Z
1050.0,1432.38,2017-08-25T03:30:00.000Z
1026.0,1360.53,2017-08-25T04:00:00.000Z
961.0,1234.12,2017-08-25T04:30:00.000Z
867.0,1177.47,2017-08-25T05:00:00.000Z
970.0,1185.91,2017-08-25T05:30:00.000Z
909.0,1139.16,2017-08-25T06:00:00.000Z
947.0,1105.79,2017-08-25T06:30:00.000Z
895.0,1065.92,2017-08-25T07:00:00.000Z
938.0,1109.46,2017-08-25T07:30:00.000Z
918.0,1114.41,2017-08-25T08:00:00.000Z
1054.0,1149.01,2017-08-25T08:30:00.000Z
1050.0,1150.29,2017-08-25T09:00:00.000Z
1032.0,1070.7,2017-08-25T09:30:00.000Z
909.0,1065.71,2017-08-25T10:00:00.000Z
924.0,1006.12,2017-08-25T10:30:00.000Z
853.0,1035.1,2017-08-25T11:00:00.000Z
928.0,1010.03,2017-08-25T11:30:00.000Z
881.0,996.738,2017-08-25T12:30:00.000Z
807.0,1052.04,2017-08-25T13:00:00.000Z
922.0,1026.54,2017-08-25T13:30:00.000Z
825.0,1098.38,2017-08-25T14:00:00.000Z
