wattHours,predictedWattHours,created
263.0,268.674,2017-06-14T16:30:00.000Z
262.0,274.601,2017-06-14T17:00:00.000Z
259.0,286.51,2017-06-14T17:30:00.000Z
257.0,337.919,2017-06-14T18:00:00.000Z
388.0,317.616,2017-06-14T18:30:00.000Z
342.0,332.16,2017-06-14T19:00:00.000Z
328.0,345.98,2017-06-14T19:30:00.000Z
282.0,355.562,2017-06-14T20:00:00.000Z
267.0,351.951,2017-06-14T20:30:00.000Z
191.0,312.764,2017-06-14T21:00:00.000Z
325.0,253.619,2017-06-14T21:30:00.000Z
376.0,280.468,2017-06-14T22:00:00.000Z
-85.0,174.582,2017-06-14T22:30:00.000Z
-246.0,40.4512,2017-06-14T23:00:00.000Z
-193.0,43.8197,2017-06-14T23:30:00.000Z
437.0,80.1601,2017-06-15T00:00:00.000Z
324.0,-73.9775,2017-06-15T00:30:00.000Z
-208.0,-152.722,2017-06-15T01:00:00.000Z
-421.0,-87.2632,2017-06-15T01:30:00.000Z
-407.0,-173.06,2017-06-15T02:00:00.000Z
-451.0,-176.293,2017-06-15T02:30:00.000Z
-437.0,-136.863,2017-06-15T03:00:00.000Z
-405.0,-123.741,2017-06-15T03:30:00.000Z
-289.0,-78.6821,2017-06-15T04:00:00.000Z
-260.0,-47.4623,2017-06-15T04:30:00.000Z
-301.0,-5.14099,2017-06-15T05:00:00.000Z
-115.0,50.9027,2017-06-15T05:30:00.000Z
-35.0,136.131,2017-06-15T06:00:00.000Z
121.0,239.185,2017-06-15T06:30:00.000Z
195.0,389.412,2017-06-15T07:00:00.000Z
360.0,444.042,2017-06-15T07:30:00.000Z
1419.0,581.675,2017-06-15T08:00:00.000Z
1064.0,634.776,2017-06-15T08:30:00.000Z
579.0,618.74,2017-06-15T09:00:00.000Z
595.0,684.642,2017-06-15T09:30:00.000Z
701.0,687.754,2017-06-15T10:00:00.000Z
356.0,619.16,2017-06-15T10:30:00.000Z
424.0,513.961,2017-06-15T11:00:00.000Z
388.0,460.35,2017-06-15T11:30:00.000Z
429.0,425.886,2017-06-15T12:30:00.000Z
390.0,383.139,2017-06-15T13:00:00.000Z
233.0,264.223,2017-06-15T13:30:00.000Z
241.0,257.086,2017-06-15T14:00:00.000Z
235.0,255.065,2017-06-15T14:30:00.000Z
224.0,255.907,2017-06-15T15:00:00.000Z
233.0,263.035,2017-06-15T15:30:00.000Z
239.0,271.191,2017-06-15T16:00:00.000Z
226.0,279.83,2017-06-15T16:30:00.000Z
229.0,289.363,2017-06-15T17:00:00.000Z
227.0,309.066,2017-06-15T17:30:00.000Z
221.0,341.173,2017-06-15T18:00:00.000Z
247.0,345.005,2017-06-15T18:30:00.000Z
458.0,363.653,2017-06-15T19:00:00.000Z
339.0,386.811,2017-06-15T19:30:00.000Z
768.0,382.461,2017-06-15T20:00:00.000Z
625.0,365.263,2017-06-15T20:30:00.000Z
521.0,310.858,2017-06-15T21:00:00.000Z
111.0,220.867,2017-06-15T21:30:00.000Z
-24.0,166.777,2017-06-15T22:00:00.000Z
-192.0,54.7836,2017-06-15T22:30:00.000Z
